"","id","family_id","name","latitude","longitude"
"6629","ford1242","aust1307","Fordata",-7.28902,131.511
"6642","fort1240","aust1307","Kiai",-15.4484,166.931
"6703","futu1245","aust1307","Futuna-Aniwa",-19.5303,170.215
"6708","fwai1237","aust1307","Fwâi",-20.6873,164.901
"6737","gada1258","aust1307","Ga'dang",17.2238,121.455
"6741","gadd1244","aust1307","Gaddang",16.5468,121.177
"6782","gale1257","aust1307","Galeya",-9.54137,150.836
"6807","galo1243","aust1307","Galoli-Talur",-8.61074,125.959
"6853","gana1277","aust1307","Gana",5.57583,116.145
"6865","gane1237","aust1307","Gane",-0.42618,127.976
"6888","gaoo1237","aust1307","Gao",-8.35163,159.789
"6890","gapa1238","aust1307","Gapapaiwa",-9.73317,149.854
"6972","gayo1244","aust1307","Gayo",4.3733,97.3456
"7054","gebe1237","aust1307","Gebe",-0.07877,129.424
"7057","geda1237","aust1307","Gedaged",-5.18175,145.781
"7074","gela1263","aust1307","Gela",-9.04587,160.186
"7118","gese1240","aust1307","Geser-Gorom",-3.8016,130.701
"7131","ghan1242","aust1307","Ghanongga",-8.02035,156.552
"7136","ghar1239","aust1307","Ghari",-9.4791,159.917
"7140","ghay1237","aust1307","Ghayavi",-10.011,149.84
"7162","gian1241","aust1307","Giangan",6.99967,125.359
"7186","gilb1244","aust1307","Gilbertese",0.179,173.64
"7195","gimi1242","aust1307","Gimi (West New Britain)",-6.02464,149.478
"7226","gitu1237","aust1307","Gitua",-6.0151,147.485
"7301","gone1237","aust1307","Gone Dau",-16.5886,178.599
"7318","gora1261","aust1307","Gorap",2.13058,128.261
"7319","gora1262","aust1307","Gorakor",-6.85564,146.579
"7339","goro1259","aust1307","Gorontalo",0.62689,122.288
"7564","gula1270","aust1307","Gula'alaa",-8.74742,161.023
"7584","guma1254","aust1307","Gumawana",-9.28497,150.762
"7625","gura1254","aust1307","Guramalum",-4.26666,152.933
"7716","gwed1239","aust1307","Gweda",-10.2173,150.421
"7748","habu1241","aust1307","Habu",-8.76565,125.965
"7763","haek1239","aust1307","Haeke",-21.0735,164.869
"7774","haho1237","aust1307","Hahon",-5.59031,154.801
"7776","haig1237","aust1307","Haigwai",-10.2741,150.256
"7794","haji1235","aust1307","Haji",-5.07781,104.714
"7803","hako1237","aust1307","Hakö",-5.06832,154.594
"7816","hali1244","aust1307","Halia",-5.26603,154.662
"7862","hano1246","aust1307","Hano",-15.5432,168.167
"7868","hanu1241","aust1307","Hanunoo",12.4159,121.221
"7890","haro1237","aust1307","Haroi",13.2201,108.995
"7894","haru1244","aust1307","Haruku",-3.57029,128.476
"7944","have1241","aust1307","Haveke",-21.0249,164.753
"7948","hawa1245","aust1307","Hawaiian",19.6297,-155.43
"7989","helo1243","aust1307","Helong",-10.2647,123.377
"8007","herm1237","aust1307","Hermit",-1.52891,145.075
"8031","higa1237","aust1307","Higaonon",8.61202,125.071
"8038","high1275","aust1307","Highland Konjo",-5.26559,119.928
"8058","hili1240","aust1307","Hiligaynon",10.4018,122.974
"8099","hitu1239","aust1307","Hitu",-3.57478,128.186
